start,end,mid,phase_rms_rad,n_samples,elongation_deg
2012-09-29 07:55:30,2012-09-29 08:15:30,2012-09-29 08:05:30,0.27111827853248793,120,41.165548020833334
2012-09-29 08:05:30,2012-09-29 08:25:30,2012-09-29 08:15:30,0.34315548235401816,120,41.16436260416667
2012-09-29 08:15:30,2012-09-29 08:35:30,2012-09-29 08:25:30,0.4486992453169974,120,41.163177187500004
2012-09-29 08:25:30,2012-09-29 08:45:30,2012-09-29 08:35:30,1.0276039319332138,120,41.16199177083333
2012-09-29 08:35:30,2012-09-29 08:55:30,2012-09-29 08:45:30,0.6754975463948693,120,41.16080635416667
2012-09-29 08:45:30,2012-09-29 09:05:30,2012-09-29 08:55:30,0.5608540182049637,120,41.1596209375
2012-09-29 08:55:30,2012-09-29 09:15:30,2012-09-29 09:05:30,0.6276389056469023,120,41.158435520833336
2012-09-29 09:05:30,2012-09-29 09:25:30,2012-09-29 09:15:30,0.8360441222874746,120,41.157250104166664
2012-09-29 09:15:30,2012-09-29 09:35:30,2012-09-29 09:25:30,0.5848569825166988,120,41.1560646875
2012-09-29 09:25:30,2012-09-29 09:45:30,2012-09-29 09:35:30,0.6078741867356938,120,41.154879270833334
2012-09-29 09:35:30,2012-09-29 09:55:30,2012-09-29 09:45:30,0.8065679894145126,120,41.15369385416667
2012-09-29 09:45:30,2012-09-29 10:05:30,2012-09-29 09:55:30,0.9247820233057411,120,41.1525084375
2012-09-29 09:55:30,2012-09-29 10:15:30,2012-09-29 10:05:30,0.3593044785227271,120,41.15132302083333
2012-09-29 10:05:30,2012-09-29 10:25:30,2012-09-29 10:15:30,0.4880477420162775,120,41.150137604166666
2012-09-29 10:15:30,2012-09-29 10:35:30,2012-09-29 10:25:30,0.3844998165056367,120,41.1489521875
2012-09-29 10:25:30,2012-09-29 10:45:30,2012-09-29 10:35:30,0.18133061453540114,120,41.147766770833336
2012-09-29 10:35:30,2012-09-29 10:55:30,2012-09-29 10:45:30,0.48875043030075027,120,41.14658135416667
2012-09-29 10:45:30,2012-09-29 11:05:30,2012-09-29 10:55:30,0.7339896970921866,120,41.1453959375
2012-09-29 10:55:30,2012-09-29 11:15:30,2012-09-29 11:05:30,0.5603369352793623,120,41.14421052083333
2012-09-29 11:05:30,2012-09-29 11:25:30,2012-09-29 11:15:30,0.7031386756624012,120,41.14302510416667
2012-09-29 11:15:30,2012-09-29 11:35:30,2012-09-29 11:25:30,0.3880479934538729,120,41.1418396875
2012-09-29 11:25:30,2012-09-29 11:45:30,2012-09-29 11:35:30,0.6231103368055128,120,41.14065427083333
2012-09-29 11:35:30,2012-09-29 11:55:30,2012-09-29 11:45:30,0.3866394815914674,120,41.139468854166665
2012-09-29 11:45:30,2012-09-29 12:05:30,2012-09-29 11:55:30,0.8910957523149454,120,41.1382834375
2012-09-29 11:55:30,2012-09-29 12:15:30,2012-09-29 12:05:30,1.8511570970455502,120,41.137098020833335
2012-09-29 12:05:30,2012-09-29 12:25:30,2012-09-29 12:15:30,2.3695492551545767,120,41.13591260416667
2012-09-29 12:15:30,2012-09-29 12:35:30,2012-09-29 12:25:30,0.7773879686898144,120,41.1347271875
2012-09-29 12:25:30,2012-09-29 12:45:30,2012-09-29 12:35:30,1.0805454533691186,120,41.13354177083333
2012-09-29 12:35:30,2012-09-29 12:55:30,2012-09-29 12:45:30,1.8259855920981458,120,41.13235635416667
2012-09-29 12:45:30,2012-09-29 13:05:30,2012-09-29 12:55:30,1.8382275243240032,120,41.1311709375
2012-09-29 12:55:30,2012-09-29 13:15:30,2012-09-29 13:05:30,1.8055395932105338,120,41.12998552083334
2012-09-29 13:05:30,2012-09-29 13:25:30,2012-09-29 13:15:30,0.4980034175508467,120,41.128800104166665
2012-09-29 13:15:30,2012-09-29 13:35:30,2012-09-29 13:25:30,0.31523165001691233,105,41.1276146875
2012-10-01 04:15:30,2012-10-01 04:35:30,2012-10-01 04:25:30,0.28248130747529254,77,40.847645
2012-10-01 04:25:30,2012-10-01 04:45:30,2012-10-01 04:35:30,0.4085468365211255,120,40.84643388888889
2012-10-01 04:35:30,2012-10-01 04:55:30,2012-10-01 04:45:30,0.3169233935821861,120,40.84522277777778
2012-10-01 04:45:30,2012-10-01 05:05:30,2012-10-01 04:55:30,0.34418438999206763,120,40.84401166666667
